[2026-03-03 05:38:30 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:102] Fully sharding model with 4 ranks...
[2026-03-03 05:38:30 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:132] Starting FSDP2 wrap for 'net' (2.15B params)...
[2026-03-03 05:38:30 | INFO | fastgen.networks.Wan.network:fully_shard:777] Applied FSDP activation checkpointing to transformer blocks
[2026-03-03 05:38:31 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:177] Completed sharding
[2026-03-03 05:38:31 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:214] FSDP2 wrapped net in 1.2s
[2026-03-03 05:38:31 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:132] Starting FSDP2 wrap for 'fake_score' (2.15B params)...
[2026-03-03 05:38:31 | INFO | fastgen.networks.Wan.network:fully_shard:777] Applied FSDP activation checkpointing to transformer blocks
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:177] Completed sharding
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:214] FSDP2 wrapped fake_score in 1.1s
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:132] Starting FSDP2 wrap for 'discriminator' (0.71B params)...
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:159]   Sharding 15 submodules
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:177] Completed sharding
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:214] FSDP2 wrapped discriminator in 0.3s
[2026-03-03 05:38:32 | INFO | fastgen.utils.distributed.fsdp:model_to_fsdp:132] Starting FSDP2 wrap for 'teacher' (17.34B params)...
